Date,Open,High,Low,Close
2024-05-28,4.2588,4.26248,4.24707,4.25427
2024-05-29,4.25382,4.28201,4.24811,4.2773
2024-05-30,4.27766,4.29547,4.27548,4.28262
2024-05-31,4.28249,4.28825,4.25971,4.27441
2024-06-03,4.27472,4.28937,4.27106,4.27422
2024-06-04,4.2742,4.31208,4.27191,4.30818
2024-06-05,4.30729,4.31526,4.28827,4.29139
2024-06-06,4.29117,4.30516,4.2728,4.28285
2024-06-07,4.28287,4.31497,4.27899,4.31488
2024-06-10,4.31617,4.33516,4.30668,4.32535
2024-06-11,4.32636,4.34796,4.32055,4.33982
2024-06-12,4.33907,4.34517,4.3185,4.33049
2024-06-13,4.33063,4.35166,4.32754,4.34692
2024-06-14,4.3465,4.38023,4.34311,4.37897
2024-06-17,4.37554,4.38099,4.34567,4.34748
2024-06-18,4.34711,4.35678,4.32801,4.33809
2024-06-19,4.33889,4.34613,4.32161,4.32431
2024-06-20,4.32392,4.33102,4.31693,4.32776
2024-06-21,4.32782,4.33622,4.31894,4.32622
2024-06-24,4.32632,4.33081,4.28879,4.29172
2024-06-25,4.29087,4.30436,4.28675,4.29907
2024-06-26,4.29998,4.31967,4.29638,4.31626
2024-06-27,4.31584,4.32124,4.30597,4.31177
2024-06-28,4.31173,4.31677,4.30558,4.31122
2024-07-01,4.32037,4.32297,4.2915,4.31649
2024-07-02,4.31649,4.33205,4.30696,4.30979
2024-07-03,4.30979,4.31212,4.29325,4.30028
2024-07-04,4.29978,4.30181,4.28035,4.28366
2024-07-05,4.28382,4.29075,4.27702,4.28277
2024-07-08,4.28844,4.29104,4.26161,4.26986
2024-07-09,4.26954,4.27111,4.25505,4.25703
2024-07-10,4.25716,4.26369,4.24829,4.26152
2024-07-11,4.26034,4.26557,4.25086,4.26096
2024-07-12,4.26065,4.2698,4.25234,4.25258
2024-07-15,4.25645,4.26137,4.24726,4.25595
2024-07-16,4.25543,4.28723,4.25422,4.28221
2024-07-17,4.28217,4.30164,4.27752,4.28875
2024-07-18,4.29177,4.29979,4.28267,4.29236
2024-07-19,4.2924,4.29456,4.2811,4.28713
2024-07-22,4.28655,4.29074,4.27486,4.27709
2024-07-23,4.27912,4.28662,4.2747,4.27731
2024-07-24,4.2773,4.30051,4.27558,4.29299
2024-07-25,4.29283,4.30457,4.28419,4.28768
2024-07-26,4.28734,4.28794,4.26729,4.27415
2024-07-29,4.27228,4.29813,4.27104,4.29418
2024-07-30,4.29405,4.29681,4.2809,4.29052
2024-07-31,4.29106,4.29945,4.28388,4.2899
2024-08-01,4.28827,4.30501,4.28546,4.30046
2024-08-02,4.30036,4.30445,4.28105,4.29229
2024-08-05,4.29129,4.31804,4.28964,4.30177
2024-08-06,4.30093,4.32148,4.29028,4.31011
2024-08-07,4.30995,4.3268,4.30228,4.32394
2024-08-08,4.32416,4.32762,4.3177,4.31988
2024-08-09,4.32165,4.33114,4.31769,4.31891
2024-08-12,4.32368,4.32529,4.29988,4.30617
2024-08-13,4.30654,4.30986,4.28193,4.29009
2024-08-14,4.29016,4.29789,4.28174,4.29127
2024-08-15,4.29086,4.29235,4.27558,4.28843
2024-08-16,4.28824,4.29218,4.26201,4.26281
2024-08-19,4.27212,4.27378,4.26272,4.26616
2024-08-20,4.26772,4.28186,4.263,4.27835
2024-08-21,4.27796,4.29161,4.27366,4.28028
2024-08-22,4.2806,4.29045,4.27434,4.28256
2024-08-23,4.28231,4.28647,4.26376,4.2649
