Date,Open,High,Low,Close
2024-05-28,1.36353,1.36539,1.36149,1.36442
2024-05-29,1.36442,1.37195,1.3644,1.37173
2024-05-30,1.37164,1.3735,1.36603,1.36792
2024-05-31,1.36792,1.36896,1.36195,1.36252
2024-06-03,1.36295,1.36686,1.3603,1.36297
2024-06-04,1.36295,1.36992,1.36209,1.36797
2024-06-05,1.36787,1.37414,1.36659,1.36934
2024-06-06,1.36934,1.37101,1.36642,1.36691
2024-06-07,1.36671,1.37587,1.36633,1.37585
2024-06-10,1.37671,1.37817,1.37539,1.37576
2024-06-11,1.37571,1.37917,1.37483,1.3757
2024-06-12,1.3757,1.37606,1.36804,1.37182
2024-06-13,1.37191,1.37637,1.37153,1.37388
2024-06-14,1.37393,1.37792,1.37279,1.3733
2024-06-17,1.37323,1.37646,1.3721,1.37233
2024-06-18,1.37234,1.37568,1.37095,1.37173
2024-06-19,1.37173,1.3726,1.36982,1.37078
2024-06-20,1.37075,1.37209,1.36826,1.369
2024-06-21,1.36902,1.37174,1.36746,1.36969
2024-06-24,1.36943,1.37081,1.365,1.36585
2024-06-25,1.36578,1.36806,1.36289,1.36595
2024-06-26,1.36572,1.37079,1.36506,1.3701
2024-06-27,1.37016,1.37123,1.36763,1.36979
2024-06-28,1.36979,1.37342,1.36556,1.36826
2024-07-01,1.36713,1.37488,1.36635,1.37386
2024-07-02,1.37376,1.37555,1.36675,1.36792
2024-07-03,1.36789,1.36868,1.36176,1.3639
2024-07-04,1.36387,1.36415,1.36083,1.36142
2024-07-05,1.36127,1.36532,1.36026,1.36313
2024-07-08,1.36455,1.36475,1.36245,1.36356
2024-07-09,1.36356,1.36482,1.36283,1.36345
2024-07-10,1.36345,1.3643,1.36084,1.36206
2024-07-11,1.36189,1.36476,1.35893,1.36328
2024-07-12,1.36332,1.36393,1.36115,1.3634
2024-07-15,1.36395,1.36889,1.36315,1.36827
2024-07-16,1.36829,1.3708,1.36679,1.36726
2024-07-17,1.36726,1.37016,1.36571,1.36846
2024-07-18,1.36848,1.37186,1.36706,1.37066
2024-07-19,1.37057,1.37477,1.37017,1.37316
2024-07-22,1.37227,1.37749,1.37056,1.37565
2024-07-23,1.37566,1.37865,1.37529,1.37835
2024-07-24,1.3781,1.38162,1.37784,1.38052
2024-07-25,1.38058,1.38483,1.37976,1.38236
2024-07-26,1.38241,1.38491,1.38075,1.38311
2024-07-29,1.38339,1.38648,1.38167,1.38517
2024-07-30,1.38513,1.38644,1.38382,1.38489
2024-07-31,1.38479,1.38585,1.37875,1.38056
2024-08-01,1.38053,1.38889,1.3797,1.38713
2024-08-02,1.38712,1.38881,1.38346,1.38634
2024-08-05,1.38678,1.39457,1.38101,1.38222
2024-08-06,1.3822,1.3856,1.37572,1.37827
2024-08-07,1.37827,1.37911,1.37211,1.37615
2024-08-08,1.37596,1.37654,1.37265,1.37331
2024-08-09,1.37337,1.37489,1.37179,1.37306
2024-08-12,1.37344,1.37479,1.37187,1.37445
2024-08-13,1.37423,1.37474,1.37039,1.37055
2024-08-14,1.37054,1.37246,1.36894,1.37153
2024-08-15,1.37152,1.37384,1.36956,1.3729
