Date,Open,High,Low,Close,Volume
2024-05-28,1.27689,1.28003,1.27544,1.27633,
2024-05-29,1.27638,1.27718,1.26992,1.2704,
2024-05-30,1.27035,1.27469,1.26811,1.27331,
2024-05-31,1.27333,1.27659,1.27005,1.27443,
2024-06-03,1.274,1.28093,1.26948,1.2806,
2024-06-04,1.28054,1.28173,1.27435,1.27721,
2024-06-05,1.27712,1.27953,1.27558,1.27863,
2024-06-06,1.27871,1.28091,1.27647,1.27922,
2024-06-07,1.27916,1.28119,1.27163,1.27212,
2024-06-10,1.27226,1.27372,1.26883,1.27291,
2024-06-11,1.27288,1.27517,1.27061,1.27419,
2024-06-12,1.27416,1.28601,1.27332,1.27997,
2024-06-13,1.27995,1.28069,1.27387,1.276,
2024-06-14,1.27581,1.27634,1.26572,1.26899,
2024-06-17,1.2685,1.27096,1.26591,1.2702,
2024-06-18,1.27032,1.27208,1.26692,1.27102,
2024-06-19,1.2709,1.274,1.27004,1.2721,
2024-06-20,1.27208,1.27233,1.2655,1.26593,
2024-06-21,1.26594,1.26708,1.26236,1.26485,
2024-06-24,1.26387,1.26981,1.2633,1.26864,
2024-06-25,1.26862,1.27024,1.26707,1.26866,
2024-06-26,1.26858,1.26932,1.26157,1.26232,
2024-06-27,1.2623,1.26706,1.26131,1.26417,
2024-06-28,1.26417,1.26635,1.262,1.26411,
2024-07-01,1.26489,1.27102,1.26335,1.26485,
2024-07-02,1.26485,1.26878,1.26159,1.26845,
2024-07-03,1.26847,1.27772,1.26784,1.27444,
2024-07-04,1.27456,1.27676,1.27412,1.27602,
2024-07-05,1.27604,1.28172,1.27544,1.28162,
2024-07-08,1.2812,1.28458,1.27999,1.28081,
2024-07-09,1.28101,1.28252,1.27783,1.2788,
2024-07-10,1.27879,1.28499,1.27845,1.28489,
2024-07-11,1.28491,1.29486,1.28479,1.29131,
2024-07-12,1.29121,1.29907,1.29023,1.29855,
2024-07-15,1.29788,1.29947,1.29622,1.29657,
2024-07-16,1.29653,1.29799,1.29384,1.29724,
2024-07-17,1.29727,1.30443,1.29664,1.30086,
2024-07-18,1.30086,1.30127,1.29405,1.29441,
2024-07-19,1.29436,1.2951,1.29014,1.29108,
2024-07-22,1.29189,1.29424,1.29061,1.29305,
2024-07-23,1.29309,1.2936,1.2888,1.29087,
2024-07-24,1.29087,1.29376,1.28778,1.29091,
2024-07-25,1.29099,1.29133,1.28499,1.28541,
2024-07-26,1.28526,1.28781,1.28502,1.28737,
2024-07-29,1.28663,1.28881,1.28071,1.28621,
2024-07-30,1.28626,1.28662,1.28203,1.28339,
2024-07-31,1.28339,1.28644,1.28213,1.28568,
2024-08-01,1.28572,1.2863,1.27272,1.27383,
2024-08-02,1.27383,1.284,1.27076,1.28094,
2024-08-05,1.28081,1.28164,1.27108,1.27765,
2024-08-06,1.27748,1.28031,1.26729,1.26904,
2024-08-07,1.26913,1.2736,1.26814,1.26946,
2024-08-08,1.26943,1.27523,1.26653,1.27472,
2024-08-09,1.2747,1.27734,1.27264,1.27602,
2024-08-12,1.27579,1.27939,1.27472,1.27647,
2024-08-13,1.27654,1.28728,1.27638,1.28618,
2024-08-14,1.28618,1.28685,1.28213,1.28294,
2024-08-15,1.28297,1.28717,1.27993,1.28552,
2024-08-16,1.28547,1.29454,1.28518,1.29448,
2024-08-19,1.29422,1.29969,1.29401,1.29891,
2024-08-20,1.29924,1.30522,1.29746,1.30334,
2024-08-21,1.3033,1.31193,1.30115,1.30936,
2024-08-22,1.30938,1.3129,1.30767,1.3091,
2024-08-23,1.30893,1.32301,1.30889,1.32104,
2024-08-26,1.32099,1.32223,1.31801,1.31889,
2024-08-27,1.31876,1.32661,1.31801,1.32592,
2024-08-28,1.3261,1.32623,1.31681,1.3193,
2024-08-29,1.31921,1.3227,1.31455,1.31666,
2024-08-30,1.31676,1.31998,1.31099,1.3133,
2024-09-02,1.3131,1.3155,1.31202,1.31446,
2024-09-03,1.31458,1.31494,1.3088,1.31113,
2024-09-04,1.3112,1.3175,1.31015,1.31477,
2024-09-05,1.31474,1.31854,1.31372,1.31811,
2024-09-06,1.31788,1.32375,1.31103,1.31332,
2024-09-09,1.31299,1.31433,1.30683,1.30745,
2024-09-10,1.30738,1.31074,1.30498,1.30786,
2024-09-11,1.30782,1.31113,1.30022,1.30447,
2024-09-12,1.30449,1.31271,1.30322,1.31249,
2024-09-13,1.31248,1.31577,1.31151,1.31247,
2024-09-16,1.31247,1.32187,1.31208,1.32155,
2024-09-17,1.32169,1.32295,1.31465,1.31621,
2024-09-18,1.31626,1.32975,1.31565,1.32113,
2024-09-19,1.32101,1.3314,1.31538,1.32844,
2024-09-20,1.32839,1.33403,1.32687,1.33162,
2024-09-23,1.3319,1.33592,1.32489,1.33486,
2024-09-24,1.33478,1.34156,1.33321,1.34125,
2024-09-25,1.3412,1.34297,1.33127,1.33221,
2024-09-26,1.33239,1.34342,1.33128,1.34137,
2024-09-27,1.34123,1.34275,1.33602,1.33765,
2024-09-30,1.33742,1.34231,1.33516,1.3375,
2024-10-01,1.33753,1.33892,1.32378,1.32857,
2024-10-02,1.32852,1.3305,1.3246,1.32686,
2024-10-03,1.32693,1.32709,1.30928,1.31254,
2024-10-04,1.31253,1.31748,1.30706,1.31263,
2024-10-07,1.31207,1.31344,1.30601,1.30835,
2024-10-08,1.30834,1.31131,1.30644,1.31048,
2024-10-09,1.31049,1.31051,1.30557,1.30708,
2024-10-10,1.30711,1.30937,1.3022,1.30595,
2024-10-11,1.30597,1.30833,1.30418,1.30645,
2024-10-14,1.3067,1.30717,1.30303,1.30592,
2024-10-15,1.30592,1.31028,1.30357,1.30734,
2024-10-16,1.30732,1.30771,1.29771,1.29919,
2024-10-17,1.29919,1.3023,1.29741,1.30126,
2024-10-18,1.30119,1.30707,1.30081,1.30428,
2024-10-21,1.30495,1.3058,1.29772,1.29871,
2024-10-22,1.29871,1.3015,1.2945,1.29841,
2024-10-23,1.29842,1.29951,1.29079,1.29188,
2024-10-24,1.29186,1.29879,1.29095,1.29749,
2024-10-25,1.29739,1.29982,1.2956,1.29601,
2024-10-28,1.29587,1.30014,1.294,1.29658,
2024-10-29,1.29659,1.30172,1.29583,1.30147,
2024-10-30,1.30148,1.30434,1.29373,1.29579,
2024-10-31,1.29577,1.29999,1.28448,1.29021,
2024-11-01,1.29031,1.29802,1.28847,1.29209,
2024-11-04,1.29583,1.29988,1.29348,1.29575,
2024-11-05,1.29586,1.30425,1.29481,1.30329,
2024-11-06,1.30318,1.30481,1.28348,1.28787,
2024-11-07,1.2877,1.30093,1.28752,1.2988,
2024-11-08,1.29895,1.29895,1.28839,1.29208,
2024-11-11,1.29117,1.29257,1.28561,1.28715,
2024-11-12,1.28705,1.28735,1.27196,1.27494,
2024-11-13,1.27496,1.27691,1.26869,1.27118,
2024-11-14,1.27112,1.27198,1.26301,1.26657,
2024-11-15,1.26659,1.26971,1.25975,1.26068,
2024-11-18,1.2616,1.26867,1.26099,1.26798,
2024-11-19,1.26795,1.26894,1.26133,1.26797,
2024-11-20,1.26792,1.27147,1.26311,1.2653,
2024-11-21,1.26525,1.266,1.25766,1.25915,
2024-11-22,1.25917,1.25943,1.24874,1.25307,
2024-11-25,1.25851,1.26133,1.25419,1.25704,
