Date,Open,High,Low,Close,Volume
2011-07-14,4.0057,4.056,3.8115,3.8834,164660
2011-07-15,3.9554,3.9913,3.8331,3.9482,11369
2011-07-18,3.8331,3.9194,3.8115,3.8115,27507
2011-07-19,3.9122,3.9122,3.8834,3.9122,487
2011-07-20,3.9841,3.9841,3.8834,3.8834,523
2011-07-21,3.9554,3.9554,3.7756,3.8763,29293
2011-07-22,3.8115,3.8115,3.4663,3.7037,50754
2011-07-25,3.8475,3.8475,3.6821,3.6821,6266
2011-07-26,3.8834,3.8834,3.8834,3.8834,81
2011-07-27,3.8834,3.8834,3.8834,3.8834,11
2011-07-28,3.8834,3.8834,3.8834,3.8834,32
2011-07-29,3.8834,3.8834,3.8834,3.8834,18
2011-08-01,4.5307,4.5307,3.9122,3.9122,28
2011-08-02,3.9554,3.9554,3.9554,3.9554,8
2011-08-03,3.9913,3.9913,3.7396,3.8834,6467
2011-08-04,3.8834,3.8834,3.6749,3.8763,7217
2011-08-05,3.6749,3.8834,3.6677,3.6677,14815
2011-08-08,3.5958,3.5958,3.5958,3.5958,1288
2011-08-09,3.9554,3.9554,3.5095,3.5095,3176
2011-08-10,3.8834,3.8834,3.2434,3.2434,5416
2011-08-11,3.4088,3.4088,3.3081,3.4088,1112
2011-08-12,3.8115,3.8115,3.5958,3.5958,578
2011-08-16,3.8115,3.8115,3.5814,3.5814,4678
2011-08-17,3.7396,3.7396,3.5958,3.5958,266
2011-08-18,3.7396,3.7396,3.7396,3.7396,17
2011-08-19,3.5958,3.7396,3.5958,3.7396,389
2011-08-22,3.7396,3.7396,3.7396,3.7396,31
2011-08-23,3.8043,3.8043,3.8043,3.8043,18
2011-08-24,3.79,3.79,3.5886,3.79,2193
2011-08-25,3.6677,3.6677,3.6677,3.6677,139
2011-08-26,3.7971,3.7971,3.7971,3.7971,21
2011-08-29,3.7684,3.7684,3.7684,3.7684,17
2011-08-30,3.7684,3.7971,3.7684,3.7971,3198
2011-08-31,3.79,3.79,3.79,3.79,21
2011-09-01,3.7971,3.7971,3.7971,3.7971,29
2011-09-02,3.7971,3.7971,3.5814,3.7971,14833
2011-09-05,3.7971,3.7971,3.7971,3.7971,11
2011-09-06,3.7971,3.7971,3.7971,3.7971,7
2011-09-07,3.5958,3.5958,3.5958,3.5958,21
2011-09-08,3.5958,3.5958,3.5958,3.5958,10
2011-09-09,3.5958,3.5958,3.5958,3.5958,10
2011-09-12,3.8115,3.8115,3.8115,3.8115,11
2011-09-13,3.7971,3.7971,3.7971,3.7971,7
2011-09-14,3.79,3.79,3.79,3.79,7
2011-09-15,3.79,3.79,3.79,3.79,10
2011-09-16,3.7684,3.7684,3.7684,3.7684,11
2011-09-19,3.7684,3.7684,3.7684,3.7684,15
2011-09-20,3.7684,3.7684,3.7684,3.7684,7
2011-09-21,3.7684,3.7684,3.7684,3.7684,17
2011-09-22,3.7971,3.7971,3.5598,3.5598,6965
2011-09-23,3.7971,3.7971,3.5239,3.5239,3633
2011-09-27,3.7971,3.7971,3.7971,3.7971,17
2011-09-28,3.7971,3.7971,3.7971,3.7971,7
2011-09-29,3.7971,3.7971,3.7971,3.7971,14
2011-09-30,3.7756,3.7756,3.7756,3.7756,11
2011-10-03,3.7971,3.7971,3.7971,3.7971,7
2011-10-04,3.7971,3.7971,3.7971,3.7971,15
2011-10-05,3.7971,3.941,3.7971,3.941,3296
2011-10-06,3.941,3.941,3.7684,3.9194,2997
2011-10-07,3.6677,3.941,3.6677,3.941,4173
2011-10-10,3.941,3.941,3.941,3.941,7
2011-10-11,3.941,3.941,3.941,3.941,13
2011-10-12,3.941,3.941,3.941,3.941,21
2011-10-13,3.9194,3.9194,3.9194,3.9194,22
2011-10-14,3.9194,3.9194,3.9194,3.9194,22
2011-10-17,3.9194,3.9194,3.9194,3.9194,11
2011-10-18,3.9194,3.9194,3.9194,3.9194,713
2011-10-19,3.8763,3.9122,3.8763,3.8834,649
2011-10-20,3.8834,3.8834,3.8834,3.8834,232
2011-10-21,3.8834,3.8834,3.8834,3.8834,107
2011-10-24,3.8834,3.8834,3.8834,3.8834,21
2011-10-25,3.8834,3.8834,3.8834,3.8834,21
