Date,Open,High,Low,Close,Volume
2024-12-02,67.99,71.04,67.99,70.31,7029969
2024-12-03,69.26,69.71,65.24,65.39,10712818
2024-12-04,66.23,66.23,61.07,61.64,13749529
2024-12-05,61.49,61.7,57.96,58.25,14289382
2024-12-06,58.72,59.58,58.3,59.29,8677484
2024-12-09,59.5,62.7,59.1,61.87,8594745
2024-12-10,61.49,62.015,60.44,61.92,9191857
2024-12-11,62.5,62.7,61.01,61.52,5698233
2024-12-12,61.03,62.04,60.681,61.5,4738719
2024-12-13,61.0,61.34,59.745,59.93,9040132
2024-12-16,57.94,59.57,57.94,59.08,11748889
2024-12-17,58.93,59.75,58.04,58.29,9621990
2024-12-18,58.79,59.76,55.91,56.14,10205868
2024-12-19,56.26,57.71,55.9,55.99,7435069
2024-12-20,55.87,57.07,55.27,55.51,27171189
2024-12-23,55.93,58.0,55.8,57.87,8832365
2024-12-24,57.81,58.61,57.25,58.56,3201143
2024-12-26,57.85,59.035,57.8,58.47,4143374
2024-12-27,58.25,58.52,57.74,58.34,9024164
2024-12-30,57.62,57.705,56.74,57.12,7182210
2024-12-31,57.355,58.11,56.57,57.35,5711760
2025-01-02,58.03,58.46,56.41,56.88,10153603
2025-01-03,57.0,58.14,56.24,57.67,5453237
2025-01-06,57.85,59.86,57.8,58.29,6946014
2025-01-07,58.77,59.2791,57.21,57.47,10217740
2025-01-08,57.37,57.5,56.01,56.38,6226846
2025-01-10,55.48,55.87,54.465,55.19,7633992
2025-01-13,54.83,56.03,54.82,55.91,6656106
2025-01-14,56.21,56.91,55.38,56.88,6015487
2025-01-15,58.05,58.43,56.96,57.0,8972343
2025-01-16,57.0,57.27,55.34,56.19,7925657
2025-01-17,57.49,58.47,57.175,57.97,8272728
2025-01-21,58.1,59.67,57.61,58.51,6996142
2025-01-22,58.22,59.36,58.03,58.48,6901681
2025-01-23,57.69,59.575,56.97,59.57,6335135
2025-01-24,58.89,59.17,55.75,56.39,10300582
2025-01-27,57.8,58.34,56.63,57.23,15094921
2025-01-28,56.52,56.795,55.37,56.28,9813483
2025-01-29,56.69,56.7999,55.36,56.03,5233941
2025-01-30,55.7,55.85,54.18,55.16,8456108
2025-01-31,54.78,56.29,53.98,54.3,10276280
2025-02-03,53.0,53.22,51.37,52.26,11262677
2025-02-04,52.43,53.0,52.19,52.6,10980018
2025-02-05,51.8,53.54,51.44,53.5,11952961
2025-02-06,53.51,54.2195,52.71,53.11,13341976
2025-02-07,52.26,53.25,50.21,51.89,17530859
2025-02-10,52.37,53.09,51.41,52.05,9450153
2025-02-11,51.42,53.15,51.42,52.58,7801909
2025-02-12,52.055,53.93,51.94,53.85,8083141
2025-02-13,53.63,54.66,53.4457,54.26,6793360
2025-02-14,54.45,55.9,54.2201,55.76,7123706
2025-02-18,56.16,58.28,56.16,57.86,11324645
2025-02-19,58.535,64.58,57.94,63.59,20924496
2025-02-20,64.81,65.34,63.2525,64.3,14626384
2025-02-21,64.4,64.418,60.66,61.07,13464042
2025-02-24,60.98,62.28,60.69,60.83,9836282
2025-02-25,60.88,62.02,59.46,60.17,9384099
2025-02-26,60.27,60.37,58.44,59.77,8482104
2025-02-27,59.53,59.765,56.7,57.12,11503777
2025-02-28,57.16,58.915,56.6,58.86,13308663
2025-03-03,62.52,62.64,57.36,57.95,19509043
2025-03-04,58.64,60.29,57.975,58.14,14040077
2025-03-05,58.7,59.83,56.9,59.64,8642710
2025-03-06,58.43,60.025,57.78,58.26,10643167
2025-03-07,58.14,60.025,57.83,59.77,8182771
2025-03-10,57.96,58.06,52.8,53.45,16124358
2025-03-11,54.19,54.4,51.065,52.24,9121685
2025-03-12,52.58,53.34,51.64,51.9,7250045
2025-03-13,51.54,53.51,51.32,51.89,6002768
2025-03-14,52.715,53.6156,52.28,53.5,7349295
2025-03-17,53.64,55.7102,53.62,55.26,6181899
2025-03-18,54.81,54.93,53.68,54.2,3810976
2025-03-19,53.97,55.37,53.91,54.57,6044741
2025-03-20,52.28,52.42,50.96,51.0,13866112
2025-03-21,50.62,52.37,49.92,51.72,29770547
2025-03-24,53.11,54.48,52.8083,53.89,12894502
2025-03-25,53.5,54.08,52.28,52.36,8676447
2025-03-26,52.42,53.13,51.58,52.17,6085368
2025-03-27,51.765,51.89,50.19,50.79,5492794
2025-03-28,50.34,50.47,48.265,48.7,12054642
2025-03-31,48.18,48.84,47.435,48.41,14064967
2025-04-01,48.415,48.71,47.21,48.5,10219663
2025-04-02,47.64,49.47,47.48,48.93,6408308
2025-04-03,46.8,46.8,39.57,40.71,29179135
2025-04-04,38.93,40.18,36.1,36.22,26407653
2025-04-07,35.585,40.0,34.125,38.09,24856462
2025-04-08,39.76,39.9745,34.14,35.34,17281735
2025-04-09,35.495,45.58,35.1,44.9,29897807
2025-04-10,41.37,41.6,37.4,38.81,24354350
2025-04-11,36.915,38.92,35.475,38.71,20661982
2025-04-14,39.925,40.31,38.25,38.88,9921386
2025-04-15,39.09,39.61,38.31,38.73,6704904
2025-04-16,37.25,38.4,36.32,37.95,14564704
2025-04-17,38.68,38.71,37.58,38.56,7777927
2025-04-21,37.595,39.53,37.41,39.43,16395603
2025-04-22,40.15,41.0544,39.58,40.29,11719641
2025-04-23,42.77,43.37,41.631,41.93,10228313
2025-04-24,44.12,47.325,44.12,47.12,20418787
2025-04-25,46.27,47.5,46.07,46.89,7677830
2025-04-28,46.66,47.85,45.9,47.01,7084699
2025-04-29,45.81,46.72,45.5045,45.92,8287470
2025-04-30,44.535,46.24,44.17,46.08,10848348
2025-05-01,47.03,47.2,45.6,45.98,8677153
2025-05-02,47.16,48.53,47.112,47.91,9444032
2025-05-05,47.225,48.33,46.84,47.78,8196286
2025-05-06,47.0,47.7,46.68,47.24,6499340
2025-05-07,47.66,48.4,46.92,48.08,9566091
2025-05-08,48.93,50.26,48.56,49.14,11279063
2025-05-09,55.745,58.06,53.83,55.33,21360894
2025-05-12,59.99,62.49,59.34,60.96,20947308
2025-05-13,60.95,63.12,60.6,62.3,10992812
2025-05-14,62.0,62.075,60.26,60.65,10608076
2025-05-15,60.315,61.355,59.3,60.8,8416678
2025-05-16,60.67,61.22,60.1317,61.21,6589290
2025-05-19,59.63,61.05,59.39,60.57,8220223
2025-05-20,60.0,60.915,59.79,60.8,6145534
2025-05-21,59.82,61.41,58.88,59.25,7244242
2025-05-22,59.25,59.78,57.56,58.05,11530576
2025-05-23,55.99,56.32,54.54,56.19,10093907
2025-05-27,57.42,59.52,56.75,58.68,11214256
2025-05-28,58.86,59.09,57.4,57.46,8292903
2025-05-29,59.04,59.59,57.38,58.11,6574856
2025-05-30,58.235,58.63,56.62,58.04,10845639
2025-06-02,57.685,60.29,57.43,60.0,9310240
2025-06-03,60.42,64.08,59.89,63.84,16322953
2025-06-04,64.35,65.28,63.05,64.67,9193257
2025-06-05,65.0,66.37,63.63,64.37,11876004
2025-06-06,65.69,66.055,65.09,65.25,8884601
2025-06-09,66.03,68.605,65.91,68.05,11974568
2025-06-10,68.46,70.57,67.66,69.59,12064754
2025-06-11,70.23,71.01,68.84,69.6,12731484
2025-06-12,68.695,69.19,67.69,67.93,7700287
2025-06-13,66.54,67.33,65.5,65.73,9841400
2025-06-16,66.75,68.36,66.48,68.19,9211780
2025-06-17,67.575,68.75,67.24,67.69,6922853
2025-06-18,68.0,69.305,67.54,68.02,5642795
2025-06-20,69.49,69.68,67.38,68.97,19067440
2025-06-23,69.065,70.63,67.97,68.58,7497952
2025-06-24,69.8,71.335,69.63,70.43,8422170
2025-06-25,70.3,71.68,69.34,71.6,7586594
2025-06-26,71.65,71.85,70.68,70.78,7060669
2025-06-27,71.05,71.53,69.78,70.49,6885575
2025-06-30,70.63,70.77,69.5,70.37,5861679
2025-07-01,69.46,72.5,69.32,71.68,8034499
2025-07-02,71.51,73.52,70.98,73.16,8245527
2025-07-03,73.83,74.4,72.94,73.06,3810846
2025-07-07,72.96,73.565,71.115,71.48,7790525
2025-07-08,72.7,75.745,72.29,74.56,11350568
2025-07-09,74.385,75.5815,73.9,74.68,6484478
2025-07-10,75.6,77.2,74.99,75.08,7550480
2025-07-11,74.03,75.06,73.725,74.56,4885943
2025-07-14,73.575,74.471,72.775,74.05,5756188
2025-07-15,75.015,75.4,73.08,73.11,6016548
2025-07-16,72.9,74.44,72.055,74.43,7036553
2025-07-17,74.22,74.545,73.42,74.3,6255515
2025-07-18,75.18,75.6304,74.0504,74.78,5239429
2025-07-21,75.15,76.09,73.8,73.85,6153715
2025-07-22,73.41,75.56,73.0912,75.26,8819430
2025-07-23,70.7,71.745,68.2,70.25,19476755
2025-07-24,68.92,69.42,66.73,67.81,13363750
2025-07-25,67.77,69.265,67.675,69.21,8354555
2025-07-28,69.71,71.08,69.345,70.53,6765045
2025-07-29,71.03,71.54,69.83,70.68,5449068
2025-07-30,70.92,71.1,69.48,70.29,6430760
2025-07-31,69.7,70.0579,66.81,67.59,15369562
2025-08-01,68.55,68.61,64.67,66.36,11544637
2025-08-04,66.83,67.5,66.445,66.59,8552307
2025-08-05,67.64,68.18,65.3803,67.13,9872932
2025-08-06,66.9,67.44,65.65,66.17,6366094
2025-08-07,67.81,68.38,65.775,66.22,13767506
2025-08-08,61.58,63.945,60.875,61.87,20070575
2025-08-11,61.92,62.89,60.84,60.95,10238970
2025-08-12,61.94,66.495,61.68,64.5,12676129
2025-08-13,64.82,66.12,64.1701,65.75,8379639
2025-08-14,64.55,66.33,63.41,65.99,6843018
2025-08-15,66.13,66.55,65.6,65.71,7744534
2025-08-18,65.64,66.01,65.04,65.56,4991723
2025-08-19,65.56,66.4,64.4,64.71,5069665
2025-08-20,65.0,66.91,63.68,66.76,10209083
2025-08-21,66.43,66.68,65.7,66.1,5932634
2025-08-22,66.25,70.7,66.14,69.14,12430340
2025-08-25,69.14,69.14,67.97,68.55,5326854
2025-08-26,68.275,69.3,67.26,67.62,8740367
2025-08-27,66.94,67.22,66.285,66.65,8212045
2025-08-28,66.6,67.57,65.08,65.25,13999152
2025-08-29,65.07,65.68,64.3175,65.0,9209777
2025-09-02,63.27,63.85,62.28,63.6,6639114
2025-09-03,63.55,63.75,61.595,63.28,6963626
2025-09-04,64.0,64.71,61.1,64.43,11088135
2025-09-05,64.735,67.09,64.36,65.92,7765189
2025-09-08,66.35,66.875,64.83,65.3,7153405
2025-09-09,65.285,65.68,64.43,64.76,4192830
2025-09-10,64.91,65.7,64.17,64.74,5407504
2025-09-11,64.74,65.22,63.78,65.02,6455699
2025-09-12,65.12,65.65,64.41,64.7,4608203
2025-09-15,64.0,64.67,62.27,63.17,6803956
2025-09-16,63.64,64.72,63.29,64.45,7680290
2025-09-17,64.39,67.62,63.99,65.78,7381580
2025-09-18,67.025,67.8654,65.96,66.26,9831984
2025-09-19,66.31,66.5,63.87,65.15,13348425
2025-09-22,65.5,66.2,65.01,65.4,6466459
2025-09-23,65.74,66.51,64.48,64.71,6218938
2025-09-24,64.85,66.25,64.67,65.85,5874256
2025-09-25,65.45,65.45,63.74,64.84,4621152
2025-09-26,64.665,65.0,63.76,64.42,4110784
2025-09-29,64.875,65.105,64.005,64.07,6499781
2025-09-30,64.27,64.87,63.03,64.22,7686713
2025-10-01,63.98,64.89,63.325,64.11,8399387
2025-10-02,64.775,67.06,64.415,66.13,6221003
2025-10-03,66.39,69.0,66.35,66.54,6368394
2025-10-06,67.23,67.77,64.35,66.59,6410220
2025-10-07,67.03,67.415,64.735,64.96,6049286
2025-10-08,65.32,67.125,64.68,66.92,6149921
