Date,Open,High,Low,Close,Volume
1999-10-01,0.5806,0.5806,0.5499,0.5499,104587
1999-10-07,0.47497,0.47497,0.47497,0.47497,228
1999-10-08,0.47497,0.47497,0.47497,0.47497,369
1999-10-18,0.48375,0.48375,0.48375,0.48375,1136
1999-10-26,0.48375,0.48375,0.48375,0.48375,943
1999-10-28,0.45296,0.45296,0.45296,0.45296,2492
1999-10-29,0.45296,0.45296,0.45296,0.45296,2608
1999-11-01,0.45296,0.45296,0.45296,0.45296,401
1999-11-02,0.45296,0.5013,0.45296,0.5013,15914
1999-11-05,0.45296,0.45296,0.45296,0.45296,1136
1999-11-11,0.41788,0.41788,0.41788,0.41788,209
1999-11-15,0.42226,0.42226,0.42226,0.42226,5682
1999-11-16,0.42226,0.42673,0.42226,0.42673,36186
1999-11-17,0.47497,0.47497,0.47497,0.47497,3411
1999-11-18,0.47497,0.47941,0.47497,0.47941,42746
1999-11-19,0.47497,0.47497,0.47497,0.47497,238052
1999-11-25,0.45296,0.45296,0.45296,0.45296,3585
1999-11-29,0.43977,0.43977,0.43977,0.43977,8966
1999-11-30,0.45296,0.45296,0.45296,0.45296,6825
1999-12-02,0.4442,0.4442,0.4442,0.4442,12046
1999-12-03,0.42226,0.42226,0.42226,0.42226,22738
1999-12-06,0.42226,0.47497,0.40027,0.47497,1990
1999-12-07,0.40027,0.40027,0.40027,0.40027,1167
1999-12-08,0.47497,0.47497,0.47497,0.47497,17840
1999-12-09,0.47497,0.47497,0.39151,0.47497,1189
1999-12-10,0.40027,0.40027,0.40027,0.40027,1136
1999-12-14,0.40466,0.40466,0.40466,0.40466,11367
1999-12-15,0.40027,0.40027,0.40027,0.40027,1158
1999-12-16,0.40027,0.40027,0.40027,0.40027,34107
1999-12-17,0.40027,0.41342,0.39151,0.39151,13310
1999-12-22,0.39151,0.39151,0.39151,0.39151,716
1999-12-27,0.39151,0.39151,0.39151,0.39151,800
1999-12-29,0.39151,0.39151,0.39151,0.39151,5102
1999-12-30,0.40466,0.40466,0.40466,0.40466,11367
2000-01-03,0.40466,0.45296,0.40027,0.45296,18190
2000-01-04,0.40466,0.40466,0.40466,0.40466,1082
2000-01-07,0.41342,0.47062,0.41342,0.47062,21373
2000-01-10,0.47062,0.47497,0.41788,0.41788,9205
2000-01-11,0.47941,0.47941,0.47941,0.47941,2275
2000-01-12,0.41788,0.41788,0.41788,0.41788,1108
2000-01-17,0.41788,0.47497,0.41788,0.47497,8761
2000-01-18,0.43103,0.43103,0.43103,0.43103,8846
2000-01-19,0.42673,0.42673,0.42673,0.42673,11367
2000-01-20,0.42673,0.42673,0.42673,0.42673,11367
2000-01-21,0.42673,0.42673,0.42673,0.42673,11367
2000-01-24,0.48375,0.5895,0.48375,0.5895,32970
2000-01-25,0.519,0.519,0.45738,0.45738,11787
2000-01-27,0.6246,0.6246,0.6246,0.6246,11367
