Date,Open,High,Low,Close,Volume
2007-09-25,14.75,14.831,14.144,14.741,244376
2007-09-26,14.741,15.59,14.669,15.42,196095
2007-09-27,15.517,15.759,15.478,15.752,66484
2007-09-28,15.703,15.946,15.703,15.921,66365
2007-10-01,15.921,15.946,15.517,15.517,35961
2007-10-02,15.558,15.719,15.517,15.517,103940
2007-10-03,15.283,15.662,15.283,15.558,21565
2007-10-04,15.364,15.598,15.355,15.574,58543
2007-10-05,15.355,15.517,15.355,15.517,8414
2007-10-08,15.468,15.598,15.404,15.598,21396
2007-10-09,15.639,15.759,15.517,15.759,50970
2007-10-10,15.759,15.759,15.639,15.759,16162
2007-10-11,15.759,15.921,15.678,15.904,7706
2007-10-12,15.904,15.904,15.841,15.897,884
2007-10-15,15.841,15.888,15.678,15.888,6165
2007-10-16,15.719,15.759,15.719,15.759,4577
2007-10-17,15.759,15.759,15.759,15.759,1114
2007-10-18,15.769,15.881,15.769,15.841,329
2007-10-19,15.8,15.841,15.8,15.841,674
2007-10-22,15.719,15.719,15.364,15.371,1484
2007-10-23,15.759,15.759,15.719,15.759,796
2007-10-24,15.687,15.832,15.687,15.832,3273
2007-10-25,15.517,15.921,15.517,15.921,7477
2007-10-26,15.857,15.881,15.639,15.881,12942
2007-10-29,15.962,16.155,15.962,16.155,1287
2007-10-30,16.487,16.487,15.355,15.841,7279
2007-10-31,15.316,16.042,15.316,16.042,21811
2007-11-02,15.759,15.841,15.759,15.841,3681
2007-11-05,15.436,15.445,15.436,15.445,8191
2007-11-06,15.436,15.598,15.436,15.598,10418
2007-11-07,15.598,15.598,15.348,15.348,8250
2007-11-08,14.831,15.194,14.831,15.194,931
2007-11-09,14.951,15.194,14.951,15.154,6831
2007-11-12,15.154,15.154,14.564,14.564,16379
2007-11-13,14.709,14.709,14.564,14.588,6003
2007-11-14,15.962,15.962,15.525,15.671,13232
2007-11-15,14.831,14.951,14.831,14.831,3255
2007-11-16,14.628,15.558,14.628,15.355,15032
2007-11-19,15.678,15.678,14.992,15.355,1340
2007-11-20,15.639,15.639,14.789,14.789,330
2007-11-21,14.709,15.517,14.709,15.355,8672
2007-11-22,15.355,15.759,15.316,15.759,7486
2007-11-23,15.678,15.678,15.517,15.639,1167
2007-11-26,14.637,15.759,14.637,15.671,3788
2007-11-28,15.598,16.164,15.598,15.759,18750
2007-11-29,15.759,15.759,15.759,15.759,63
2007-11-30,15.678,15.759,15.639,15.759,1378
2007-12-03,15.678,15.678,15.678,15.678,87
2007-12-06,15.355,15.355,15.355,15.355,247
2007-12-07,15.355,15.355,15.113,15.113,1231
2007-12-10,15.032,15.032,15.032,15.032,11
2007-12-11,14.789,14.789,14.789,14.789,944
2007-12-13,14.548,14.548,14.548,14.548,123
2007-12-14,14.548,14.548,14.466,14.466,263
2007-12-17,14.264,15.186,13.342,15.186,831
2007-12-18,15.194,15.194,15.194,15.194,2475
2007-12-19,15.194,15.678,15.194,15.678,5765
2007-12-20,14.951,15.678,14.548,15.678,2884
2007-12-21,15.355,15.355,14.144,15.355,8537
2007-12-27,14.555,15.355,14.466,15.355,2660
2007-12-28,14.523,15.678,14.523,15.678,2626
2008-01-02,15.678,15.678,14.548,14.871,2220
2008-01-03,14.871,14.951,14.134,14.951,8416
2008-01-04,14.548,14.951,14.345,14.951,3057
2008-01-08,14.224,14.241,14.159,14.241,712
2008-01-09,14.159,14.184,13.456,13.456,4933
2008-01-10,14.531,14.531,13.577,14.466,1966
2008-01-11,13.739,14.661,13.739,14.661,1686
2008-01-14,14.661,14.661,14.661,14.661,63
2008-01-15,14.661,14.661,14.144,14.548,5876
2008-01-16,14.144,14.548,13.336,13.336,1361
2008-01-17,14.531,14.531,13.352,13.472,651
2008-01-18,12.931,13.617,12.689,12.689,1524
2008-01-21,12.729,13.326,11.719,11.719,3622
2008-01-22,12.099,12.099,10.999,11.953,3602
2008-01-23,12.123,12.123,11.316,11.316,2058
2008-01-24,11.493,13.375,11.493,11.937,1669
2008-01-25,12.737,12.737,11.774,12.689,1330
2008-01-28,12.689,12.689,12.689,12.689,1504
2008-01-29,12.793,12.793,12.793,12.793,165
2008-01-31,12.793,12.793,12.366,12.769,6913
2008-02-01,13.093,14.912,13.093,14.531,1484
2008-02-04,14.507,14.507,13.514,14.466,2820
2008-02-05,13.924,14.466,13.9,14.466,2439
2008-02-07,13.739,14.144,13.497,14.144,494
2008-02-08,14.144,14.144,14.144,14.144,186
2008-02-13,13.9,13.9,13.9,13.9,303
2008-02-14,13.9,14.458,13.9,14.458,286
2008-02-15,14.386,14.386,14.386,14.386,1547
2008-02-18,12.123,14.386,12.123,14.386,1865
2008-02-20,13.739,13.739,13.739,13.739,56
2008-02-21,14.507,14.507,14.507,14.507,310
2008-02-26,14.144,14.305,14.144,14.305,3514
2008-02-27,14.539,14.548,14.539,14.548,1237
2008-02-28,14.531,14.548,14.531,14.548,2475
2008-03-03,14.466,14.466,13.821,14.458,407
2008-03-05,13.739,14.539,13.739,14.539,1939
2008-03-06,13.788,14.127,13.336,13.336,12924
2008-03-07,14.013,14.013,14.013,14.013,1
2008-03-10,12.931,13.739,12.931,13.739,2475
2008-03-14,12.931,13.336,12.85,13.336,188
2008-03-18,12.163,12.769,12.163,12.769,231
2008-03-19,12.769,12.915,12.769,12.915,618
2008-03-20,12.163,12.518,12.123,12.518,3103
2008-03-25,12.204,12.284,12.123,12.284,3857
2008-03-27,11.597,12.276,11.557,12.123,1283
2008-03-28,12.729,12.745,12.204,12.729,3452
2008-03-31,12.648,12.648,12.648,12.648,322
2008-04-01,12.89,12.915,12.204,12.899,1755
2008-04-02,12.915,12.915,12.89,12.89,543
2008-04-03,12.89,12.89,12.366,12.366,914
2008-04-04,12.366,12.81,12.366,12.729,1341
2008-04-07,12.729,12.729,12.446,12.446,386
2008-04-08,11.768,12.527,11.768,12.486,1431
2008-04-11,11.904,12.341,11.904,12.204,236
2008-04-15,11.355,12.196,11.355,12.196,285
2008-04-16,11.363,12.099,11.072,12.026,1859
2008-04-17,11.461,11.461,10.992,11.316,13187
2008-04-21,11.316,11.316,11.234,11.234,4
2008-04-23,10.894,10.894,10.425,10.425,4287
2008-04-24,10.506,10.506,10.506,10.506,1856
2008-04-25,10.749,10.749,10.749,10.749,1
2008-04-29,10.183,10.74,9.698,10.547,1209
2008-05-05,9.617,9.617,9.585,9.585,5929
2008-05-06,9.698,10.506,9.698,10.506,5464
2008-05-07,10.441,10.441,9.73,10.417,464
2008-05-08,10.102,10.417,10.102,10.417,3463
2008-05-09,10.498,10.498,10.498,10.498,1249
2008-05-12,10.467,10.467,9.537,10.102,6571
2008-05-13,10.062,10.062,9.3593,9.682,2615
2008-05-14,9.3753,9.9,9.0513,9.0513,1692
2008-05-15,8.4859,8.7204,8.2839,8.7204,2860
2008-05-16,8.5593,8.5593,7.6777,7.6777,2295
2008-05-19,7.6777,7.6777,7.1847,7.1847,4158
2008-05-20,6.627,7.1927,6.4574,6.7079,137546
2008-05-21,7.3544,7.3544,6.9908,6.9908,4232
2008-05-23,7.5565,7.9202,7.4353,7.6777,3523
2008-05-26,7.7181,7.7181,7.6697,7.6777,1290
2008-05-27,7.8797,7.8797,7.6859,7.6859,28349
2008-05-28,7.8797,7.8797,7.8393,7.8393,310
2008-05-29,7.8717,7.8717,7.5565,7.8393,31978
2008-05-30,7.8393,7.8393,7.8393,7.8393,63
