Date,Open,High,Low,Close,Volume
2024-12-02,158.38,163.37,158.38,163.03,9812677
2024-12-03,161.5,163.86,161.32,162.58,6961372
2024-12-04,164.475,165.0,162.24,163.34,6721577
2024-12-05,162.59,164.45,159.93,160.39,7279786
2024-12-06,160.39,160.39,157.24,159.51,9918412
2024-12-09,157.48,162.93,157.47,160.74,9481232
2024-12-10,160.77,161.49,156.04,156.46,8683634
2024-12-11,157.29,160.46,156.97,159.83,7081804
2024-12-12,158.67,159.46,156.9214,158.24,5796116
2024-12-13,158.24,159.6805,156.62,158.53,8886682
2024-12-16,158.16,158.71,154.02,157.89,9951138
2024-12-17,156.49,159.98,156.49,157.92,7187382
2024-12-18,158.25,161.16,152.325,153.05,10295189
2024-12-19,154.03,155.47,150.06,150.4,8414797
2024-12-20,149.58,154.57,149.43,152.89,17347066
2024-12-23,155.66,158.69,154.55,158.24,8863199
2024-12-24,158.64,159.4,157.54,159.36,2839592
2024-12-26,157.4,159.5599,157.35,158.53,3847905
2024-12-27,157.19,157.75,155.52,157.24,7232473
2024-12-30,155.23,156.13,153.8,154.58,5355964
2024-12-31,154.72,155.84,153.21,153.62,4423330
2025-01-02,155.01,157.51,152.79,153.64,5009075
2025-01-03,155.42,158.435,154.49,157.83,5887151
2025-01-06,159.33,165.67,159.33,159.85,9599764
2025-01-07,162.0,163.45,159.25,160.52,7666013
2025-01-08,160.05,160.19,156.94,159.08,7731918
2025-01-10,157.7,158.28,155.55,156.98,6236809
2025-01-13,155.22,157.37,154.8,157.13,5714689
2025-01-14,160.14,161.01,156.559,159.53,6476497
2025-01-15,162.1,165.45,162.09,164.41,9284034
2025-01-16,165.35,165.84,161.28,161.43,7188856
2025-01-17,165.38,165.61,163.1,164.56,8097475
2025-01-21,166.0,168.68,165.35,167.27,7380518
2025-01-22,168.32,172.0899,168.19,170.24,7281689
2025-01-23,170.38,174.38,169.38,174.36,7172321
2025-01-24,175.1,175.2,171.9422,172.11,5825772
2025-01-27,172.1,172.2,167.28,171.18,15632612
2025-01-28,170.22,173.49,169.81,171.55,8720168
2025-01-29,171.55,173.49,170.22,171.71,5118924
2025-01-30,172.34,173.54,170.97,171.93,6010556
2025-01-31,172.51,176.79,172.29,172.93,7808977
2025-02-03,168.88,172.58,168.06,170.24,7447086
2025-02-04,168.5,173.79,168.5,173.04,5457922
2025-02-05,173.0,177.0,169.9027,175.86,15420587
2025-02-06,167.84,169.49,165.4,169.32,16293503
2025-02-07,169.83,171.3,166.06,167.96,7841658
2025-02-10,169.73,171.8,169.0,171.36,6237693
2025-02-11,169.65,172.7,169.11,171.99,6588067
2025-02-12,169.55,170.93,168.24,170.29,5505696
2025-02-13,170.19,172.36,169.47,172.15,6362183
2025-02-14,172.6,172.82,171.04,172.23,4691344
2025-02-18,173.26,173.72,171.2359,173.64,7292649
2025-02-19,173.985,176.5,173.35,175.22,6849614
2025-02-20,176.0,176.39,172.9,173.7,6316412
2025-02-21,174.98,175.43,165.21,165.43,12531871
2025-02-24,165.91,166.59,160.99,161.1,9827839
2025-02-25,161.66,163.33,159.44,161.22,8244945
2025-02-26,161.83,164.14,160.93,162.1,9161867
2025-02-27,162.34,163.25,154.1,154.44,10807193
2025-02-28,155.1,157.31,153.4,157.17,10149470
2025-03-03,158.99,160.08,152.52,153.62,9601853
2025-03-04,155.27,157.2,151.35,154.46,8956839
2025-03-05,155.04,159.15,153.03,158.49,6786851
2025-03-06,154.11,157.88,154.09,156.04,7808129
2025-03-07,155.22,161.82,155.22,161.22,8727617
2025-03-10,157.35,159.255,152.61,154.98,10139920
2025-03-11,154.85,156.2275,150.86,153.1,8692939
2025-03-12,154.21,155.86,151.92,152.8,7117435
2025-03-13,152.595,155.63,150.42,151.94,5861709
2025-03-14,153.56,156.95,153.54,156.58,5309435
2025-03-17,155.6,158.72,155.44,157.95,5781412
2025-03-18,157.95,159.73,155.9233,156.29,6898367
2025-03-19,156.43,160.515,155.06,158.26,5870969
2025-03-20,158.0,159.12,156.52,157.95,5089255
2025-03-21,154.98,157.416,153.56,156.82,10949252
2025-03-24,160.0,161.0,158.8,160.08,6033350
2025-03-25,159.88,161.47,159.42,160.15,3978200
2025-03-26,159.45,160.81,156.85,158.39,5965132
2025-03-27,158.21,159.25,155.75,157.97,6101990
2025-03-28,156.92,157.64,151.56,152.72,8917986
2025-03-31,150.805,153.85,147.88,153.61,8613591
2025-04-01,152.39,153.32,150.265,153.05,5708940
2025-04-02,150.79,155.46,150.37,154.08,5377181
2025-04-03,147.0,147.4,138.56,139.42,16464974
2025-04-04,134.34,135.86,126.68,127.46,19018564
2025-04-07,124.59,137.2,120.8019,129.72,17938325
2025-04-08,131.13,135.29,121.74,124.66,14965907
2025-04-09,125.155,144.86,124.19,143.59,21242585
2025-04-10,137.01,139.0599,129.29,134.4,14898763
2025-04-11,134.0,140.65,131.11,139.25,10955260
2025-04-14,142.75,143.11,136.83,139.19,6930331
2025-04-15,139.46,140.835,138.03,138.6,6346797
2025-04-16,133.68,137.31,131.79,135.74,10417222
2025-04-17,137.38,138.15,135.71,136.66,7135854
2025-04-21,134.73,136.55,133.36,136.14,8128290
2025-04-22,136.745,139.1,136.49,138.74,8227962
2025-04-23,142.58,143.88,139.78,140.46,9073488
2025-04-24,142.78,147.82,141.99,147.21,8810602
2025-04-25,146.08,149.2,146.08,148.56,5145633
2025-04-28,148.18,149.3,145.4398,147.62,5743480
2025-04-29,146.66,148.26,145.52,146.88,6691951
2025-04-30,145.195,148.85,143.88,148.46,10851867
2025-05-01,138.785,138.96,134.87,135.21,22836553
2025-05-02,137.85,141.41,137.29,139.81,13185574
2025-05-05,138.3,140.77,138.29,139.44,7165260
2025-05-06,137.82,140.8,137.46,139.9,6957862
2025-05-07,140.38,144.7,140.245,144.3,10202537
2025-05-08,145.64,147.5,143.89,145.1,8489076
2025-05-09,145.66,146.983,144.6,145.18,6217069
2025-05-12,154.08,154.36,149.83,152.12,11414646
2025-05-13,152.005,153.29,150.96,151.34,10160946
2025-05-14,151.925,153.27,150.43,152.98,6971196
2025-05-15,151.71,153.39,150.18,152.61,6941187
2025-05-16,152.87,153.055,151.3,152.5,6667966
2025-05-19,150.55,153.82,150.11,153.7,7241083
2025-05-20,153.035,153.89,151.925,153.82,5269482
2025-05-21,153.58,156.13,150.8308,151.31,9684483
2025-05-22,151.39,151.58,147.22,147.37,9539061
2025-05-23,143.42,146.485,141.77,145.38,8994607
2025-05-27,147.55,149.35,146.43,148.63,9788753
2025-05-28,148.82,149.49,147.36,147.6,7032262
2025-05-29,149.86,150.4999,147.24,148.34,5984793
2025-05-30,148.0,148.02,143.48,145.2,13755571
2025-06-02,144.8,147.205,144.48,146.63,6419509
2025-06-03,146.71,149.78,145.515,148.94,6164120
2025-06-04,150.0,150.05,147.3826,149.05,7143844
2025-06-05,148.8,150.08,147.0,147.56,5613181
2025-06-06,149.8,150.59,149.05,149.24,5794700
2025-06-09,151.81,156.12,151.1685,155.41,10589377
2025-06-10,156.19,159.51,155.07,159.13,9068443
2025-06-11,160.0,162.14,157.7,159.48,8859937
2025-06-12,159.0,159.61,157.95,158.7,5689351
2025-06-13,156.34,157.17,154.44,154.72,8446444
2025-06-16,157.03,158.45,155.64,156.87,8686257
2025-06-17,156.65,157.58,154.39,154.46,7146944
2025-06-18,155.0,156.0994,153.15,153.63,6708683
2025-06-20,154.23,155.12,150.63,151.32,15501852
2025-06-23,151.23,153.52,149.683,153.14,6860687
2025-06-24,154.73,156.3,154.15,155.71,7692670
2025-06-25,156.1,156.5317,154.59,155.93,5280104
2025-06-26,156.5,158.42,155.91,158.19,6278199
2025-06-27,158.65,161.1,157.57,158.54,22100340
2025-06-30,158.39,159.86,157.8,159.26,7988244
2025-07-01,158.22,161.65,157.98,159.4,8942314
2025-07-02,159.68,162.79,158.8,162.32,8916394
2025-07-03,163.045,163.9573,162.09,162.21,4280773
2025-07-07,161.11,161.49,157.57,158.09,7187449
2025-07-08,159.47,161.83,158.61,159.45,6879080
2025-07-09,159.4,161.4838,158.25,159.35,4190120
2025-07-10,158.99,160.29,157.79,159.09,5675549
2025-07-11,159.0,159.17,157.15,157.46,5907658
2025-07-14,156.42,156.495,153.48,154.29,7382550
2025-07-15,156.29,156.71,154.12,154.3,6467332
2025-07-16,154.3,154.5,151.5401,154.07,7106685
2025-07-17,153.0,153.5299,151.8,152.61,7018604
2025-07-18,153.04,155.43,152.73,154.8,7433858
2025-07-21,154.92,159.93,154.91,158.97,7662335
2025-07-22,158.955,159.04,156.17,157.99,6951574
2025-07-23,158.59,160.04,156.93,159.88,7296150
2025-07-24,158.345,159.09,156.789,158.84,5014820
2025-07-25,158.9,159.2,157.41,158.4,4808242
2025-07-28,159.76,161.96,159.16,161.05,9627310
2025-07-29,162.035,163.6,161.14,162.08,9460889
2025-07-30,163.0,163.27,158.0,159.06,14382464
2025-07-31,153.11,156.8039,145.5776,146.76,24440140
2025-08-01,146.46,149.165,145.79,148.19,12706714
2025-08-04,148.51,150.79,147.075,147.51,8150186
2025-08-05,148.52,148.65,145.67,146.71,7794509
2025-08-06,146.645,146.71,144.11,145.84,8475658
2025-08-07,148.32,148.32,144.81,145.9,6753460
2025-08-08,146.35,148.02,145.69,147.56,5028685
2025-08-11,148.575,151.06,147.71,147.97,6215927
2025-08-12,148.795,153.9,148.565,153.73,9307675
2025-08-13,153.97,157.11,153.63,156.59,7103331
2025-08-14,154.9,158.65,154.9,158.09,6294848
2025-08-15,158.04,159.26,156.6908,157.85,7583742
2025-08-18,157.78,159.75,157.24,158.9,4774409
2025-08-19,159.07,159.43,156.05,156.25,6396532
2025-08-20,156.39,156.64,153.46,155.44,7151699
