Date,Open,High,Low,Close,Volume
2006-07-11,8.3,8.8,8.3,8.3,543134
2006-07-12,8.4,8.5,8.1,8.15,71879
2006-07-13,8.1,8.1,7.4,7.8,13325
2006-07-14,7.5,8.05,7.4,8.05,26652
2006-07-17,8.05,8.15,7.95,8.1,14317
2006-07-18,8.05,8.1,8.05,8.1,5348
2006-07-19,8.1,8.1,8.05,8.1,9934
2006-07-20,8.15,8.2,8.0,8.15,12452
2006-07-21,8.2,8.25,8.0,8.2,12655
2006-07-24,8.2,8.35,8.2,8.25,20673
2006-07-25,8.35,8.45,8.3,8.3,2580
2006-07-26,8.45,8.45,8.35,8.35,9117
2006-07-27,8.35,8.7,8.35,8.7,21044
2006-07-28,8.6,8.7,8.55,8.7,6649
2006-07-31,8.7,9.0,8.6,9.0,15973
2006-08-01,9.1,9.2,8.8,8.9,50566
2006-08-02,8.65,8.85,8.65,8.85,1030
2006-08-03,8.7,8.9,8.6,8.7,6698
2006-08-04,8.6,8.9,8.6,8.9,16785
2006-08-07,8.2,8.8,8.2,8.55,8140
2006-08-08,8.55,8.65,8.45,8.65,10410
2006-08-09,8.65,8.65,8.6,8.65,4084
2006-08-10,8.7,8.7,8.4,8.6,472
2006-08-11,8.75,8.75,8.75,8.75,2
2006-08-14,8.4,8.45,8.0,8.35,10447
2006-08-16,8.1,8.4,8.05,8.4,751
2006-08-17,8.1,8.1,8.1,8.1,199
2006-08-18,8.1,8.7,8.1,8.7,260
2006-08-21,8.7,8.7,8.3,8.55,1222
2006-08-22,8.3,8.55,8.3,8.55,1601
2006-08-23,8.25,8.55,8.25,8.55,1543
2006-08-24,8.25,8.65,8.25,8.4,501
2006-08-25,8.3,8.45,8.2,8.4,3229
2006-08-28,8.4,8.4,8.4,8.4,5
2006-08-29,8.2,8.3,8.0,8.05,4557
2006-08-30,8.05,8.2,8.0,8.2,10199
2006-08-31,8.1,8.1,8.0,8.1,2110
2006-09-01,8.15,8.15,8.0,8.1,2055
2006-09-04,8.03,8.03,8.01,8.01,1534
2006-09-05,8.1,8.1,7.99,7.99,2590
2006-09-06,8.0,8.01,8.0,8.0,3000
2006-09-07,8.0,8.05,7.81,8.05,1983
2006-09-08,8.06,8.06,7.9,8.05,70
2006-09-11,8.0,8.0,7.8,7.8,6539
2006-09-12,7.88,7.9,7.88,7.9,885
2006-09-13,7.98,7.98,7.84,7.98,98
2006-09-14,8.0,8.0,8.0,8.0,877
2006-09-15,8.0,8.0,7.6,8.0,796
2006-09-18,8.05,8.15,8.05,8.15,857
2006-09-19,8.15,8.15,8.15,8.15,5
2006-09-20,8.31,8.31,8.31,8.31,66
2006-09-21,8.15,8.15,7.7,7.71,605
2006-09-22,8.2,8.31,7.8,8.2,1134
2006-09-25,8.3,8.3,8.3,8.3,5
2006-09-26,7.91,8.0,7.9,7.9,400
2006-09-27,8.04,8.04,8.04,8.04,5
2006-09-28,8.04,8.04,7.99,7.99,800
2006-09-29,7.99,8.3,7.99,8.3,479
2006-10-02,8.3,8.39,8.0,8.39,11979
2006-10-03,7.97,8.46,7.97,8.4,4316
2006-10-04,8.39,8.5,8.39,8.5,4530
2006-10-05,8.53,8.7,8.53,8.65,2148
2006-10-06,8.65,8.65,8.65,8.65,76
2006-10-09,8.65,8.75,8.4,8.51,37963
2006-10-10,8.55,8.55,8.2,8.55,5020
2006-10-11,8.6,8.65,8.59,8.65,21402
2006-10-12,8.5,8.67,8.3,8.67,1389
2006-10-13,8.66,8.66,8.66,8.66,476
2006-10-16,8.7,8.75,8.36,8.75,13628
2006-10-17,8.9,9.2,8.56,9.2,16544
2006-10-18,8.95,9.24,8.86,9.21,5956
2006-10-19,9.2,9.2,9.2,9.2,493
2006-10-20,9.2,9.2,9.15,9.2,1587
2006-10-23,9.17,9.2,9.17,9.2,1205
2006-10-24,9.1,9.1,9.1,9.1,2577
2006-10-25,9.1,9.15,9.1,9.15,680
2006-10-26,9.16,9.5,9.16,9.45,2350
2006-10-27,9.45,9.5,9.4,9.4,3060
2006-10-30,9.6,9.6,9.4,9.4,2932
2006-10-31,9.6,9.6,9.55,9.6,2801
2006-11-02,9.58,9.58,9.58,9.58,506
2006-11-03,9.59,9.59,9.2,9.58,485
2006-11-06,9.5,9.5,9.5,9.5,500
2006-11-07,9.2,9.49,9.0,9.49,6360
2006-11-08,9.49,9.49,9.1,9.1,1377
2006-11-09,9.1,9.44,9.05,9.44,3005
2006-11-10,9.36,9.47,9.05,9.47,1791
2006-11-13,9.48,9.48,9.48,9.48,50
2006-11-14,9.48,9.48,9.06,9.06,500
2006-11-15,9.37,9.39,9.25,9.25,1800
2006-11-16,9.48,9.6,9.4,9.6,8435
2006-11-17,9.6,9.6,9.6,9.6,5
2006-11-20,9.4,9.4,9.15,9.15,1555
2006-11-21,8.91,9.55,8.9,9.55,6188
2006-11-22,9.49,9.5,9.15,9.5,1470
2006-11-23,9.49,9.49,9.49,9.49,50
2006-11-24,9.5,9.5,9.5,9.5,150
2006-11-27,9.3,9.3,9.3,9.3,280
2006-11-28,9.3,9.3,9.28,9.28,2661
2006-11-29,9.22,9.25,9.13,9.25,3144
2006-11-30,9.15,9.48,9.11,9.3,2881
2006-12-01,9.2,9.52,9.2,9.52,6238
2006-12-04,9.26,9.59,9.2,9.55,8835
2006-12-05,9.64,9.71,9.6,9.71,9464
2006-12-06,9.8,10.2,9.8,10.0,14536
2006-12-07,10.0,10.5,9.9,10.5,2631
2006-12-08,10.79,10.9,10.78,10.9,11068
2006-12-11,10.99,11.2,10.99,10.99,9775
2006-12-12,10.51,10.7,10.25,10.6,4806
2006-12-13,10.6,11.2,10.41,11.2,6571
2006-12-14,11.0,11.2,10.9,10.9,3120
2006-12-15,10.33,10.6,9.22,10.6,9045
2006-12-18,10.1,10.4,10.1,10.4,9650
2006-12-19,10.21,10.4,10.21,10.25,1008
2006-12-20,9.6,9.71,9.2,9.6,11963
2006-12-21,9.6,9.6,9.6,9.6,60
2006-12-22,9.6,9.6,9.0,9.0,6319
2006-12-27,9.0,9.0,8.8,8.9,390
2006-12-28,9.0,9.0,8.6,8.6,709
2006-12-29,9.3,9.3,8.53,8.53,937
2007-01-02,8.5,8.8,8.01,8.8,165
2007-01-03,9.0,9.0,8.44,8.89,3888
2007-01-04,8.88,8.88,8.88,8.88,10
2007-01-05,8.51,8.88,8.51,8.88,41
2007-01-08,8.52,8.75,8.01,8.75,6830
2007-01-09,8.87,8.87,8.5,8.87,1561
2007-01-10,8.87,8.87,8.13,8.46,1571
2007-01-11,8.37,8.51,8.3,8.5,3005
2007-01-12,8.5,8.7,8.34,8.7,7380
2007-01-15,8.52,8.7,8.4,8.7,3750
2007-01-17,8.41,8.5,8.37,8.48,7018
2007-01-18,8.54,8.8,8.37,8.8,2865
2007-01-19,8.82,8.82,8.1,8.24,6630
2007-01-22,8.2,8.78,8.2,8.78,1421
2007-01-23,8.76,8.76,8.75,8.75,805
2007-01-24,8.2,8.6,8.1,8.45,1795
2007-01-25,8.75,8.75,8.65,8.65,900
2007-01-26,8.6,8.6,8.6,8.6,350
2007-01-29,8.6,8.7,8.6,8.7,57390
2007-01-30,8.65,8.65,8.65,8.65,30
2007-01-31,8.65,8.65,8.4,8.6,5000
2007-02-01,8.6,8.65,8.6,8.65,726
2007-02-02,8.65,8.89,8.64,8.89,54116
2007-02-05,9.15,9.39,9.05,9.3,2612
2007-02-06,9.47,9.65,9.0,9.0,18252
2007-02-07,8.87,8.87,8.86,8.86,1010
2007-02-08,8.85,9.0,8.7,9.0,480
2007-02-09,8.9,9.0,8.74,8.9,2710
2007-02-12,8.73,8.9,8.73,8.9,9537
2007-02-13,8.9,9.0,8.9,9.0,2784
2007-02-14,9.0,9.6,9.0,9.5,11746
2007-02-15,9.5,9.65,9.15,9.25,7628
2007-02-16,9.15,9.15,8.7,8.9,3306
2007-02-19,9.2,9.38,9.2,9.3,1399
2007-02-20,9.3,9.3,9.29,9.3,828
2007-02-21,9.3,9.7,9.3,9.41,2476
2007-02-22,9.4,9.65,9.4,9.5,5115
2007-02-23,9.69,9.7,9.26,9.7,1578
2007-02-26,9.74,10.0,9.65,10.0,3580
2007-02-27,9.8,9.81,9.7,9.8,4206
2007-02-28,9.4,9.6,9.3,9.55,20263
2007-03-01,9.6,9.6,9.4,9.49,2376
2007-03-02,9.7,9.7,9.7,9.7,10
2007-03-05,9.6,9.6,9.05,9.6,8960
2007-03-06,9.6,10.1,9.6,10.1,4960
2007-03-07,10.3,11.0,10.0,10.7,8265
2007-03-08,10.8,11.5,10.8,11.5,12792
2007-03-09,11.27,11.76,11.27,11.35,5054
2007-03-12,11.75,12.0,11.75,11.75,2940
2007-03-13,11.95,11.95,11.4,11.55,518
2007-03-14,11.15,11.8,11.15,11.8,2280
2007-03-15,11.8,13.3,11.8,12.85,9564
2007-03-16,13.0,13.0,12.21,12.5,7768
2007-03-19,12.47,12.47,12.35,12.35,176
2007-03-20,12.3,12.3,11.8,11.88,362
2007-03-21,11.25,11.7,11.25,11.55,3597
2007-03-22,11.55,11.85,11.45,11.85,2783
2007-03-23,11.84,11.84,11.36,11.37,1037
2007-03-26,11.46,11.46,11.37,11.37,246
2007-03-27,11.37,11.37,10.7,10.7,2955
2007-03-28,10.7,10.71,10.1,10.2,4413
2007-03-29,10.4,10.65,10.4,10.64,10609
2007-03-30,10.77,11.05,10.75,10.8,2261
2007-04-02,10.8,10.8,10.75,10.76,3967
2007-04-03,11.2,11.2,11.2,11.2,150
2007-04-04,11.2,11.65,11.2,11.65,5026
2007-04-05,11.8,11.88,11.33,11.88,1894
2007-04-10,11.89,11.89,11.4,11.45,1154
2007-04-11,11.46,11.46,11.46,11.46,341
2007-04-12,11.5,11.5,10.5,11.1,2650
2007-04-13,11.16,11.16,11.16,11.16,150
2007-04-16,10.72,11.16,10.72,11.16,1035
2007-04-17,10.8,11.4,10.8,11.4,3449
2007-04-18,11.4,11.7,11.4,11.7,5212
2007-04-19,11.99,11.99,11.5,11.99,9239
2007-04-20,11.99,12.15,11.99,12.02,13442
2007-04-23,12.0,12.1,12.0,12.1,1385
2007-04-24,12.0,12.0,12.0,12.0,575
2007-04-25,11.65,12.37,11.65,12.0,9200
2007-04-26,12.25,12.35,12.01,12.35,3000
2007-04-27,12.5,12.89,12.5,12.5,5150
2007-04-30,12.5,12.5,12.5,12.5,50
2007-05-02,12.9,13.0,12.7,12.95,1915
2007-05-04,13.55,14.0,13.5,14.0,2565
2007-05-07,14.3,14.3,14.0,14.0,5271
2007-05-08,13.8,14.0,13.71,13.71,576
2007-05-09,13.5,14.1,13.4,14.1,1507
2007-05-10,14.4,14.5,14.4,14.5,600
2007-05-11,14.3,14.3,13.95,14.2,608
2007-05-14,13.86,14.2,13.86,14.2,689
2007-05-15,13.88,13.88,13.55,13.87,2973
2007-05-16,13.9,13.9,13.9,13.9,10
2007-05-17,14.15,14.15,14.15,14.15,200
2007-05-18,14.15,14.15,13.75,13.75,413
2007-05-21,13.75,13.75,13.75,13.75,100
2007-05-22,13.75,13.75,13.75,13.75,100
2007-05-23,14.2,14.2,13.35,13.35,663
2007-05-24,13.2,13.2,13.2,13.2,374
2007-05-28,13.6,14.45,13.4,14.4,1880
2007-05-29,14.49,14.49,14.01,14.1,748
2007-05-30,13.9,13.9,13.9,13.9,100
2007-05-31,14.0,14.0,14.0,14.0,478
2007-06-01,14.0,14.0,13.65,14.0,1094
2007-06-04,14.27,14.27,13.75,13.75,166
2007-06-05,13.75,14.0,13.75,13.75,221
2007-06-06,13.75,13.75,13.75,13.75,250
2007-06-08,14.1,14.1,14.1,14.1,15
2007-06-11,14.15,14.15,14.1,14.1,120
2007-06-12,14.1,14.1,13.8,13.8,60
2007-06-13,14.15,14.15,13.8,13.8,70
2007-06-14,14.0,14.0,13.7,13.7,367
2007-06-15,13.2,14.0,13.2,13.7,727
2007-06-18,13.8,14.49,13.7,14.49,1855
2007-06-19,14.2,14.4,14.2,14.4,1107
2007-06-20,14.4,14.4,14.4,14.4,10
2007-06-21,14.4,14.4,14.4,14.4,333
2007-06-22,14.6,14.8,14.6,14.8,830
2007-06-25,14.7,14.7,14.7,14.7,50
2007-06-26,14.7,14.7,14.7,14.7,13
2007-06-27,15.0,15.0,14.87,14.87,826
2007-06-28,14.87,14.87,14.3,14.3,1047
2007-06-29,15.0,15.0,15.0,15.0,20
2007-07-02,14.9,14.9,14.9,14.9,10
2007-07-03,14.6,14.6,14.4,14.59,891
2007-07-04,14.59,14.59,14.5,14.5,1400
2007-07-05,14.5,14.5,14.5,14.5,94
2007-07-06,14.6,14.6,14.5,14.5,30
2007-07-09,14.6,15.15,14.3,15.15,5866
2007-07-10,15.14,15.14,14.69,14.8,920
2007-07-11,14.85,14.85,14.35,14.7,2219
2007-07-12,14.9,14.9,14.6,14.9,1343
