Date,Open,High,Low,Close,Volume
2024-12-02,235.981,239.483,235.872,238.289,48400060
2024-12-03,238.508,241.44,237.602,241.333,39073302
2024-12-04,241.55,242.784,239.938,241.689,44626390
2024-12-05,242.665,243.21,240.814,241.719,40252571
2024-12-06,241.585,243.3,240.764,241.52,37072031
2024-12-09,240.517,245.896,240.437,245.409,44893136
2024-12-10,245.549,246.86,244.008,246.424,37116460
2024-12-11,246.614,249.438,244.923,245.151,45452759
2024-12-12,245.549,247.39,244.345,246.614,32956585
2024-12-13,246.469,247.935,244.903,246.781,33336406
2024-12-16,246.644,250.014,246.305,249.676,51977145
2024-12-17,248.721,252.451,248.424,252.102,51636904
2024-12-18,250.79,252.898,246.394,246.703,57084241
2024-12-19,246.155,250.63,245.754,248.434,61214844
2024-12-20,246.693,253.615,244.355,253.107,148300990
2024-12-23,253.386,254.261,252.072,253.883,41081972
2024-12-24,254.101,256.807,253.903,256.797,23361628
2024-12-26,256.787,258.687,256.23,257.613,27411911
2024-12-27,256.429,257.294,251.685,254.201,42586695
2024-12-30,250.86,252.122,249.388,250.83,35751781
2024-12-31,251.069,251.905,248.075,249.059,39696389
2025-01-02,247.577,247.746,240.508,242.525,56045225
2025-01-03,242.039,242.854,240.576,242.039,40463954
2025-01-06,242.983,245.985,241.879,243.669,45291640
2025-01-07,241.66,244.215,240.038,240.894,41079143
2025-01-08,240.606,242.388,238.746,241.382,37834495
2025-01-10,238.706,238.854,231.733,235.563,62047963
2025-01-13,232.262,233.396,228.471,233.127,49901842
2025-01-14,233.475,234.837,231.21,232.013,39650717
2025-01-15,233.361,237.662,233.157,236.578,40049558
2025-01-16,236.061,236.717,226.792,227.02,72151050
2025-01-17,230.853,231.028,227.239,228.73,68862431
2025-01-21,222.784,223.2,218.188,221.43,98606158
2025-01-22,218.595,222.903,218.595,222.614,64476803
2025-01-23,223.519,225.797,221.092,222.444,60563803
2025-01-24,223.559,224.404,220.207,221.57,54996705
2025-01-27,222.804,230.888,222.764,228.611,95381628
2025-01-28,229.595,238.884,229.556,236.965,76121137
2025-01-29,232.848,238.553,232.738,238.059,45734576
2025-01-30,237.369,239.483,235.921,236.299,55962323
2025-01-31,245.847,245.847,232.173,234.717,101627272
2025-02-03,228.74,230.57,224.474,226.772,73462424
2025-02-04,226.016,231.863,225.418,231.534,45313489
2025-02-05,227.288,231.405,227.03,231.208,39881666
2025-02-06,230.028,232.529,229.174,231.953,30088821
2025-02-07,231.338,232.728,226.026,226.393,39924132
2025-02-10,228.573,229.584,226.214,226.662,33259977
2025-02-11,227.21,234.21,227.14,231.61,53952489
2025-02-12,230.197,235.932,229.679,235.842,45440481
2025-02-13,235.882,241.288,234.547,240.483,53847727
2025-02-14,240.203,244.484,239.943,243.539,41074470
2025-02-18,242.852,244.116,240.79,243.409,49035280
2025-02-19,243.599,244.942,242.105,243.807,32344574
2025-02-20,243.877,245.71,243.229,244.764,32457758
2025-02-21,244.883,247.61,244.156,244.484,53429288
2025-02-24,243.862,247.78,243.359,246.099,51550098
2025-02-25,246.923,248.915,243.847,245.967,48222534
2025-02-26,243.269,243.917,238.092,239.317,44627224
2025-02-27,238.371,241.407,236.032,236.27,41333004
2025-02-28,235.922,241.039,229.202,240.79,57081064
2025-03-03,240.74,242.969,235.088,236.997,47389633
2025-03-04,236.674,239.028,233.661,234.906,54032537
2025-03-05,234.399,235.523,228.235,234.716,47433481
2025-03-06,233.419,236.827,232.147,234.31,45367291
2025-03-07,234.085,240.323,233.741,238.032,46475245
2025-03-10,234.518,235.136,223.246,226.492,72385314
2025-03-11,222.834,224.86,216.506,219.882,76469250
2025-03-12,219.185,220.788,213.978,216.038,62820076
2025-03-13,215.013,215.899,207.516,208.77,61635800
2025-03-14,210.333,213.022,208.672,212.563,60369557
2025-03-17,212.384,214.285,209.058,213.072,48282950
2025-03-18,213.231,214.216,210.573,211.767,42617364
2025-03-19,213.289,217.811,212.822,214.305,54622425
2025-03-20,213.062,216.546,211.299,213.172,49075912
2025-03-21,210.642,217.89,210.363,217.323,94538017
2025-03-24,220.041,220.519,217.632,219.772,44492558
2025-03-25,219.812,223.127,219.125,222.78,34643920
2025-03-26,222.54,224.043,219.513,220.569,34683164
2025-03-27,220.429,224.013,219.603,222.879,37256449
2025-03-28,220.708,222.839,216.736,216.954,39992163
2025-03-31,216.063,224.642,215.292,221.166,65583924
2025-04-01,218.851,222.71,217.95,222.221,36571442
2025-04-02,220.354,224.212,220.061,222.919,36062396
2025-04-03,204.648,206.59,200.377,202.309,103869751
2025-04-04,193.048,199.013,186.527,187.562,126459687
2025-04-07,176.431,193.307,173.861,180.673,161165668
2025-04-08,185.89,189.51,168.475,171.671,121386249
2025-04-09,171.204,199.739,171.144,197.988,185199563
2025-04-10,188.244,193.935,182.206,189.594,122411186
2025-04-11,185.292,198.674,185.252,197.29,87816998
2025-04-14,210.523,212.016,200.29,201.641,101794651
2025-04-15,200.979,202.626,198.933,201.263,51567650
2025-04-16,197.498,199.829,191.535,193.427,59992763
2025-04-17,196.344,197.971,193.576,196.125,52392031
2025-04-21,192.426,192.959,188.988,192.321,46946260
2025-04-22,195.269,200.715,195.119,198.873,53207264
2025-04-23,205.106,207.098,201.918,203.711,53159853
2025-04-24,204.001,207.923,202.059,207.466,47517190
2025-04-25,205.47,208.84,205.306,208.372,38388846
2025-04-28,209.088,210.583,206.56,209.228,38911932
2025-04-29,207.788,211.319,207.466,210.293,36988143
2025-04-30,208.392,212.653,205.773,211.578,52514340
2025-05-01,208.172,213.629,207.992,212.394,57615699
2025-05-02,205.196,206.092,201.283,204.46,101450869
2025-05-05,202.219,203.215,197.35,198.028,69319263
2025-05-06,197.35,199.779,196.165,197.648,51439705
2025-05-07,198.306,198.574,192.411,195.398,68916005
2025-05-08,196.862,199.183,193.836,196.632,50698880
2025-05-09,198.137,199.669,196.677,197.668,36612804
2025-05-12,210.33,210.627,206.123,210.15,63969890
2025-05-13,209.791,212.753,208.366,212.284,52067297
2025-05-14,211.786,213.29,209.941,211.686,49475928
2025-05-15,210.31,212.314,208.904,210.808,45166501
2025-05-16,211.716,211.925,209.133,210.62,54904422
2025-05-19,207.279,208.845,203.639,208.146,46280936
2025-05-20,207.04,207.838,204.409,206.232,42625956
2025-05-21,204.548,206.412,200.101,201.477,59391961
2025-05-22,200.101,202.135,199.095,200.749,46884649
2025-05-23,193.077,197.101,192.874,194.678,78671597
2025-05-27,197.698,200.131,196.831,199.602,56459766
2025-05-28,199.982,202.115,199.294,199.812,45477650
2025-05-29,202.957,203.192,197.908,199.343,51634590
2025-05-30,198.765,201.348,196.183,200.241,71035454
2025-06-02,199.672,201.516,199.512,201.088,35531090
2025-06-03,200.739,203.152,200.346,202.653,46522710
2025-06-04,202.295,205.614,201.486,202.205,43736676
2025-06-05,202.882,204.129,199.542,200.022,55389278
2025-06-06,202.385,205.076,201.438,203.302,46749524
2025-06-09,204.38999938964844,206.0,200.0200042724609,201.4499969482422,72862600
2025-06-10,200.6000061035156,204.3500061035156,200.57000732421875,202.6699981689453,54672600
2025-06-11,203.5,204.5,198.4100036621093,198.77999877929688,60989900
2025-06-12,199.0800018310547,199.67999267578125,197.3600006103516,199.1999969482422,43904600
2025-06-13,199.72999572753903,200.3699951171875,195.6999969482422,196.4499969482422,51447300
2025-06-16,197.3000030517578,198.69000244140625,196.5599975585937,198.4199981689453,43020700
2025-06-17,197.1999969482422,198.38999938964844,195.2100067138672,195.63999938964844,38856200
2025-06-18,195.94000244140625,197.57000732421875,195.07000732421875,196.5800018310547,45394700
2025-06-20,198.2400054931641,201.6999969482422,196.8600006103516,201.0,96813500
2025-06-23,201.6300048828125,202.3000030517578,198.9600067138672,201.5,55814300
2025-06-24,202.58999633789065,203.44000244140625,200.1999969482422,200.3000030517578,54064000
2025-06-25,201.4499969482422,203.6699981689453,200.6199951171875,201.5599975585937,39525700
2025-06-26,201.42999267578125,202.63999938964844,199.4600067138672,201.0,50799100
2025-06-27,201.278,202.603,199.393,200.469,73411291
2025-06-30,201.398,206.761,198.656,204.548,92192516
2025-07-01,206.038,209.549,205.515,207.189,79028629
2025-07-02,208.276,212.693,207.509,211.795,68148564
2025-07-03,212.1499938964844,214.6499938964844,211.8099975585937,213.5500030517578,34955800
2025-07-07,212.67999267578125,216.22999572753903,208.8000030517578,209.9499969482422,50229000
2025-07-08,210.10000610351562,211.42999267578125,208.4499969482422,210.00999450683594,42848900
2025-07-09,209.52999877929688,211.3300018310547,207.22000122070312,211.13999938964844,48749400
2025-07-10,210.50999450683594,213.47999572753906,210.02999877929688,212.41000366210938,44443600
2025-07-11,210.57000732421875,212.1300048828125,209.86000061035156,211.16000366210938,39765800
2025-07-14,209.288,210.27,206.91,207.987,38958305
2025-07-15,208.586,211.247,208.286,208.476,42425050
2025-07-16,209.658,211.756,208.006,209.523,47635050
2025-07-17,209.931,211.157,208.953,209.383,48214417
2025-07-18,210.23,211.147,209.068,210.54,49123625
2025-07-21,211.457,215.125,210.988,211.835,51533780
2025-07-22,212.493,214.297,211.587,213.75,46545283
2025-07-23,214.347,214.497,211.766,213.5,47132293
2025-07-24,213.8999938964844,215.69000244140625,213.52999877929688,213.759994506836,46022600
2025-07-25,214.6999969482422,215.2400054931641,213.3999938964844,213.8800048828125,40268800
2025-07-28,214.02999877929688,214.85000610351562,213.05999755859375,214.0500030517578,37858000
2025-07-29,214.17999267578125,214.8099975585937,210.82000732421875,211.2700042724609,51411700
2025-07-30,211.89999389648438,212.38999938964844,207.72000122070312,209.0500030517578,45512500
