Date,Open,High,Low,Close,Volume
2024-12-02,122.9,123.75,122.2,123.75,190026
2024-12-03,123.7,123.9,122.65,123.0,201765
2024-12-04,122.9,123.35,121.4,122.6,275259
2024-12-05,122.75,123.05,121.75,121.95,127865
2024-12-06,122.35,125.75,122.0,123.0,349388
2024-12-09,122.85,125.15,122.85,124.65,233942
2024-12-10,124.35,124.8,122.8,122.9,181031
2024-12-11,123.15,125.05,123.05,124.4,220584
2024-12-12,124.25,126.0,124.15,126.0,299776
2024-12-13,126.0,126.0,124.45,124.7,177125
2024-12-16,124.5,124.85,121.85,124.1,215999
2024-12-17,123.75,125.05,122.95,124.65,178189
2024-12-18,124.3,124.4,122.75,122.9,149156
2024-12-19,122.3,123.2,121.85,122.9,209913
2024-12-20,122.3,123.0,121.65,122.85,355887
2024-12-23,122.35,123.3,121.95,123.3,120773
2024-12-27,122.85,123.5,122.65,123.2,136791
2024-12-30,123.25,124.1,123.05,124.0,110979
2025-01-02,123.15,124.05,122.55,123.7,197647
2025-01-03,123.55,124.1,122.3,122.45,197977
2025-01-06,122.35,124.25,120.85,123.0,194771
2025-01-07,122.35,127.4,122.3,127.0,262039
2025-01-08,126.25,127.2,125.2,127.0,244766
2025-01-09,128.4,130.1,127.45,128.1,266392
2025-01-10,128.1,128.45,125.95,127.25,254524
2025-01-13,126.75,127.05,125.35,126.1,152541
2025-01-14,123.75,125.3,123.7,123.7,325061
2025-01-15,122.95,124.1,122.15,123.6,194682
2025-01-16,124.5,125.8,124.05,124.95,169551
2025-01-17,125.5,127.15,124.9,126.2,271251
2025-01-20,126.3,126.7,125.45,125.45,126442
2025-01-21,125.15,125.7,124.6,124.75,152710
2025-01-22,124.45,128.1,124.45,126.35,254604
2025-01-23,126.55,126.55,125.45,125.95,173285
2025-01-24,126.25,127.85,125.4,125.95,215449
2025-01-27,126.25,128.9,125.9,128.9,215392
2025-01-28,128.6,130.0,128.3,128.7,151865
2025-01-29,128.0,128.95,126.45,127.9,149934
2025-01-30,128.2,130.9,128.15,130.4,156483
2025-01-31,130.9,131.4,128.65,128.95,178799
2025-02-03,127.0,129.1,126.25,128.85,218021
2025-02-04,128.4,128.6,126.4,126.95,153210
2025-02-05,126.45,126.95,125.85,126.3,148501
2025-02-06,126.9,127.15,125.45,126.65,189689
2025-02-07,125.95,126.95,124.8,126.4,345293
2025-02-10,126.65,128.25,126.2,128.25,169398
2025-02-11,128.25,128.75,127.05,127.7,178242
2025-02-12,128.25,128.7,125.9,126.9,184558
2025-02-13,126.7,127.75,124.45,127.05,298428
2025-02-14,126.95,127.2,125.7,125.75,231430
2025-02-17,124.95,127.3,124.95,127.2,134989
2025-02-18,127.5,128.4,126.0,127.75,204797
2025-02-19,128.3,128.8,126.35,126.9,227403
2025-02-20,127.25,127.45,125.95,127.2,193078
2025-02-21,127.4,128.35,127.05,128.15,200161
2025-02-24,129.05,129.5,128.3,129.05,149386
2025-02-25,128.6,128.95,124.7,125.9,345892
2025-02-26,125.7,128.4,125.65,127.15,238400
2025-02-27,129.0,132.4,127.6,131.75,432569
2025-02-28,131.1,134.3,130.85,132.25,634645
2025-03-03,131.6,135.1,130.7,134.7,322073
2025-03-04,134.5,136.2,133.2,136.2,406274
2025-03-05,136.1,137.7,135.3,137.1,375648
2025-03-06,136.4,136.85,133.1,134.5,355076
2025-03-07,134.25,134.3,130.8,133.15,263060
2025-03-10,133.55,136.25,133.5,135.45,314593
2025-03-11,135.4,136.05,133.95,134.45,339958
2025-03-12,134.9,136.05,134.35,135.85,369253
2025-03-13,136.1,136.25,132.65,133.75,245176
2025-03-14,134.55,135.45,133.05,134.05,217055
2025-03-17,134.0,134.0,132.05,133.65,217523
2025-03-18,134.15,134.15,130.4,131.55,360413
2025-03-19,130.85,132.3,130.05,131.35,176091
2025-03-20,131.15,131.95,130.4,130.85,241062
2025-03-21,128.2,129.2,126.2,127.2,706982
2025-03-24,127.85,128.0,121.9,121.9,517631
2025-03-25,121.9,122.4,118.2,118.7,516140
2025-03-26,118.4,119.25,117.65,118.05,378155
2025-03-27,118.4,120.35,117.3,119.85,426308
2025-03-28,119.45,121.3,119.3,120.35,379381
2025-03-31,119.9,120.7,118.45,119.4,281469
2025-04-01,120.1,120.3,118.5,118.9,311252
2025-04-02,118.5,120.35,118.25,120.35,322709
2025-04-03,120.05,122.6,120.05,120.85,324086
2025-04-04,121.2,125.2,120.15,120.4,602291
2025-04-07,115.8,117.45,112.8,112.8,606269
2025-04-08,113.5,116.55,112.9,116.4,384940
2025-04-09,114.7,115.1,110.95,112.95,410544
2025-04-10,116.05,118.25,115.45,115.8,471926
2025-04-11,116.9,117.05,114.25,114.85,478419
2025-04-14,116.65,118.15,115.85,117.55,374019
2025-04-15,121.0,121.7,115.35,118.95,476682
2025-04-16,118.95,120.25,117.7,120.25,290901
2025-04-17,120.1,120.45,118.95,119.15,268899
2025-04-22,118.45,119.35,117.0,118.95,313494
2025-04-23,119.2,121.35,118.8,120.35,290423
2025-04-24,120.05,121.2,119.7,120.95,366332
